In,Out,Duration,Text,Speaker,Status
00:00:23.860,00:05:50.629,00:05:26.769,████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████,Sheila,edited
00:05:50.760,00:06:16.519,00:00:25.759,"So we have to pick something to cover in 45 minutes. So we thought we'd talk about privacy, because you're all being photographed, so what the hell? Abuse wherever, but the idea is to talk about and focus on the differences between the U.S. System and the European, and in particular an area of privacy that Europe just had its first case, which involves both privacy and news gathering.",Stuart,edited
00:06:17.080,00:06:49.730,00:00:32.650,"And in this case, it was the use of hidden cameras, hidden microphones. John, in his life, particularly focusing on television, is one of the U.S.'s most experienced lawyers in dealing with this, and is not necessarily the beginning, but perhaps the end of that process, and how both courts and news reacted. But Mark, maybe start from the proposition of this case, Haldeman, versus Switzerland, sort of what happened there, and then maybe we can talk about sort of how it's different and what the approach and what significance of that is.",Stuart,edited
00:06:50.380,00:10:54.760,00:04:04.380,"'Well there were four Swiss journalists, TV journalists, excuse me, frog in my throat, who worked for the rather snappily named Swiss TV program, Kassen Sturz. And they had got approval from their editors to do some hidden camera filming. There had been problems with insurance brokers giving. What might best be described as sub-optimal advice. And so basically, they wanted to be able to get the evidence of this. And they put cameras in a room, the court came to the conclusion that A, that there was low quality advice being given, two, that the insurance broker had a reasonable expectation of privacy, That's the touchstone test that we have that he had a reasonable expectation of privacy and also reasonable expectation that the information that he imparted would not be amplified through electronic media or any other way. And they noted a rather interesting point which was that the journalists having reviewed the material after they'd recorded it had only used the really bad stuff. Which showed, in their view, the high public interest. So by not showing lots and lots of material and limiting it to the really bad stuff, that was a greater justification for the intrusion into his privacy. And the conclusion that they came to was that the broker had a private life. He was entitled to protection of that. He had an expectation of it. But in this particular. Set of circumstances, the public interest trumped his right to privacy. And so there was the right for the journalists to speak. Now this is quite important because the essential fact that I haven't told you is that there is a complete statutory bar on doing any hidden camera recording at all in Switzerland. What the European Court of Human Rights have done is effectively put a gloss on a complete blanket statutory ban and said, yeah, you can have a statutory ban, but you've got to be able to be flexible enough to take where it's appropriate the opportunity to have a public interest defense. And part of that was that we put forward a series of programs which we had taken in the UK or had been made in the U.K., which where there isn't a statutory ban. And so we had things like a Channel 4 program about the abuse of corpses at funeral parlors. We did one about the abusive animals at dogs' homes and things like that. And of course, there's nothing worse to an English person than abuse of their dog, as you will have seen in Downton recently, I'm sure. Or if not, you've got that coming. Sorry, a spoiler, yeah. The worst, of course was the program that was made about the abuse of disabled folk, some... Mentally disabled some, physically disabled some both, who were physically and otherwise abused by their carers. And I think that that gave the court a very clear understanding of the utility of public.",Mark,edited
00:10:55.710,00:11:19.169,00:00:23.459,"'But England doesn't have an absolute bar against hidden cameras and microphones. But so John, I mean, we talked earlier today about a couple cases which actually, and again, these go, this is the first case to the European Court of Human Rights on the issue of the hidden camera, hidden microphone. There's a history of this in the United States which is long, tortured, complicated, and has made John, not a wealthy man, but a well-employed man for a number of decades.",Stuart,not-edited
00:11:20.130,00:11:21.070,00:00:00.940,'And a well-informed man.,Mark,not-edited
00:11:22.030,00:13:46.450,00:02:24.420,"So that's not clear. First, could I ask, could the lights be turned down a little bit so this feels more like a conversation, less like an interrogation? Thank you. Thank you very much. And I would just like, and I see several of my students in here, so they know that this approach, taken in this British case, or the Swiss case, before the European Court, is very different from the way American courts have treated news gathering issues like this, like trespass, like use of hidden cameras, like serve justice recording. Because American courts has said, it is not a defense, if you violate the law I'll commit a tort. The news gathering tactic that you use, the newsworthiness of your report is not a defense. They're not going to balance it. So, and a dramatic example of that in California some years ago, Group W productions for a series on EMS workers. Did some recording, they put recording device on EMS workers and Oh, sorry, okay. And one of them went and tended to a woman who had been trapped under a car off the highway and recorded conversation with her as she was trapped in the car and then later as they flew off in a helicopter to a hospital. They never showed that woman's face. They never identified her by name, but she did recognize herself by voice and by circumstance. And she sued for two things. She sued for invasion of privacy, for the broadcast of embarrassing private facts about her, and for intrusion for the secret recording. And the same court, the California Supreme Court, held that no, she lost on the invasion of privacy for private facts because this was a legitimately newsworthy matter they were covering, the operations of healthcare workers. But the court ruled in her favor and said she could pursue a claim for intrusion. The news gathering was separate. So the newsworthiness did not rescue the group W from the tort for the intrusion, and that's a different approach. Do you expect this to be carried over throughout Europe?",John,not-edited
00:13:46.740,00:15:40.659,00:01:53.919,"Yeah, I mean it goes beyond just Switzerland because of course it's in the European Court of Human Rights and that applies to countries as diverse as Russia and Turkey and all the sort of rather odd countries who are not even in the EU, so think European Union plus all the bits around the edges and you've got a major change in the law and approach in every single one of these countries. And I think... So, you know, you're still going to have to show that you thought about, first of all, that it was necessary to reveal serious wrongdoing or criminality. So you're going to to have thought that going in, so you'll have to have had a good tip or some information which would lead you to that conclusion. You'll have get senior editorial approval, who will then have to document why they made that approval. Then you will have the secret camera recording, and then reviewing that, there's a second decision to be made about whether or not you're going to further intrude beyond the secret recording, because obviously that's a, if you like, a smaller invasion of privacy than to amplify that through the general broadcast to the world at large. And so, Those are the sorts of, and that's the decision tree that we have to make and we have justify. But it's incredibly good if you go back to, oh there was a woman who, an American journalist who impersonated herself into a mental institution in New York, centuries ago I think. And effectively it's the same kind of case and test. There's a real understanding that you can get through this. No, we have done...",Mark,not-edited
00:15:40.730,00:15:58.150,00:00:17.420,"Right, so this guy's right to privacy applies even though he was an insurance broker, the journalist posed as someone seeking insurance. They met in a rented space of some sort, like a hotel room. So it's classic in a sense, consumer reporting in that sense.",Stuart,edited
00:15:58.490,00:16:23.670,00:00:25.180,"And so here, because of the fact that the news worthiness does not trump the intrusion because of that secret recording. There was a case, we talked about this one earlier, Desnick, which was an ophthalmologist, and there, that report was, which you could just discuss a little bit, but that report protected, but as a result of a change in the law, no longer occurs.",Stuart,edited
